iter	Passed	Remaining
0	1	159
1	2	131
2	3	120
3	4	109
4	5	103
5	6	104
6	7	100
7	8	96
8	9	96
9	10	98
10	11	96
11	12	93
12	13	90
13	14	88
14	15	89
15	17	90
16	18	88
17	19	86
18	19	84
19	20	83
20	21	82
21	22	81
22	23	79
23	24	78
24	25	76
25	27	76
26	28	77
27	29	76
28	30	75
29	32	75
30	33	74
31	34	72
32	34	70
33	35	69
34	37	68
35	37	67
36	38	65
37	39	64
38	40	63
39	41	61
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	55	42
57	56	41
58	57	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	72	28
72	72	26
73	73	25
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	95	1
98	96	0
99	97	0
